key,statut,categorie,declencheur,canal,timing,open_rate,volume_mois,wording_url,jira_ticket,retake,push_content,sujet_email,date_added,cible,body_html
WELCOME_EMAIL,en_prod,onboarding,User completes registration,Email,Immediate,42%,15000,https://docs.google.com/welcome,NOTIF-101,false,,Welcome to CreatorHub!,2024-01-15,both,"<p>Welcome to <strong>CreatorHub</strong>! We're thrilled to have you join our community of creators.</p><p>Here's what you can do next:</p><ul><li>Complete your profile</li><li>Connect your social accounts</li><li>Explore collaboration opportunities</li></ul>"
WELCOME_PUSH,en_prod,onboarding,User completes registration,Push,Immediate,,,,,false,Welcome! Tap to complete your profile,,2024-01-15,both,
PROFILE_INCOMPLETE_D3,en_prod,onboarding,Profile < 50% complete after 3 days,Email,D+3,38%,8500,https://docs.google.com/profile-reminder,NOTIF-102,false,,Complete your profile to unlock features,2024-02-10,both,"<p>Hi there!</p><p>We noticed your profile is only <strong>partially complete</strong>. Complete it now to:</p><ul><li>Get discovered by brands</li><li>Access premium features</li><li>Join exclusive campaigns</li></ul>"
PROFILE_INCOMPLETE_PUSH,en_prod,onboarding,Profile < 50% complete after 3 days,Push,D+3,,,,,false,Your profile is 50% done. Finish it now!,,2024-02-10,both,
FIRST_CAMPAIGN_TIPS,en_prod,onboarding,User joins first campaign,Email + Push,Immediate,45%,3200,https://docs.google.com/campaign-tips,NOTIF-103,false,Tips for your first campaign inside!,Your First Campaign - Tips for Success,2024-02-20,social,"<p>Congratulations on joining your first campaign!</p><p>Here are some tips to make it a success:</p><ol><li>Read the brief carefully</li><li>Ask questions if unclear</li><li>Submit before the deadline</li></ol>"
PAYMENT_PENDING,en_prod,reminders,Payment ready for withdrawal,Email,Immediate,52%,12000,https://docs.google.com/payment-ready,NOTIF-201,false,,Your payment is ready!,2024-01-20,social,"<p>Great news! Your payment of <strong>$XXX</strong> is ready for withdrawal.</p><p>Log in to your account to transfer it to your bank account.</p>"
PAYMENT_PENDING_PUSH,en_prod,reminders,Payment ready for withdrawal,Push,Immediate,,,,,false,💰 Your payment is ready to withdraw!,,2024-01-20,social,
PAYMENT_REMINDER_D7,en_prod,reminders,Payment unclaimed after 7 days,Email,D+7,35%,4500,https://docs.google.com/payment-reminder,NOTIF-202,false,,Don't forget your pending payment,2024-03-01,social,
CAMPAIGN_DEADLINE_D2,en_prod,reminders,Campaign deadline in 2 days,Email + Push,D-2,48%,9000,https://docs.google.com/deadline-reminder,NOTIF-203,false,⏰ 2 days left to submit!,Campaign Deadline Approaching,2024-02-15,social,
CAMPAIGN_DEADLINE_D1,en_prod,reminders,Campaign deadline tomorrow,Push,D-1,,,,,false,Tomorrow is the deadline! Submit now,,2024-02-15,social,
REVIEW_REQUEST,en_prod,reminders,Purchase completed 7 days ago,Email,D+7,28%,25000,https://docs.google.com/review-request,NOTIF-301,false,,How was your recent purchase?,2024-01-25,consumer,"<p>Hi!</p><p>You recently purchased from one of our partner brands. We'd love to hear your feedback!</p><p>Leave a review and help other shoppers make informed decisions.</p>"
REVIEW_REMINDER,en_prod,reminders,No review after 14 days,Email,D+14,22%,18000,https://docs.google.com/review-reminder,NOTIF-302,false,,Still time to share your thoughts,2024-03-10,consumer,
NEW_CAMPAIGN_MATCH,en_prod,engagement,New campaign matches creator profile,Email,Immediate,55%,7500,https://docs.google.com/campaign-match,NOTIF-401,false,,New campaign opportunity for you!,2024-02-01,social,"<p>We found a campaign that matches your profile!</p><p><strong>Brand:</strong> Example Brand<br><strong>Category:</strong> Lifestyle<br><strong>Budget:</strong> $500-1000</p><p>Apply now before spots fill up!</p>"
NEW_CAMPAIGN_MATCH_PUSH,en_prod,engagement,New campaign matches creator profile,Push,Immediate,,,,,false,🎯 New campaign matches your profile!,,2024-02-01,social,
WEEKLY_DIGEST,en_prod,engagement,Every Monday at 9am,Email,Weekly,32%,45000,https://docs.google.com/weekly-digest,NOTIF-402,false,,Your weekly creator digest,2024-01-10,social,
COLLAB_REQUEST,en_prod,engagement,Brand sends collaboration request,Email + Push,Immediate,62%,2800,https://docs.google.com/collab-request,NOTIF-403,false,A brand wants to collaborate with you!,New Collaboration Request,2024-03-05,social,
INACTIVE_D30,en_prod,reactivation,No login for 30 days,Email,D+30,18%,6000,https://docs.google.com/inactive-30,NOTIF-501,false,,We miss you at CreatorHub,2024-02-28,both,"<p>It's been a while since we've seen you!</p><p>Here's what you've missed:</p><ul><li>15 new campaigns in your niche</li><li>New features launched</li><li>Community updates</li></ul>"
INACTIVE_D60,en_prod,reactivation,No login for 60 days,Email,D+60,12%,3500,https://docs.google.com/inactive-60,NOTIF-502,false,,Come back - special offer inside,2024-03-15,both,
WIN_BACK_OFFER,en_proposition,reactivation,Churned user after 90 days,Email,D+90,8%,1200,https://docs.google.com/win-back,NOTIF-503,true,,Exclusive offer to return,2024-04-01,both,
